[2025-04-07 18:03:45,728] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:03:45,728] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:03:45,728] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:05:54,793] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:05:54,793] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:05:54,793] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:12:46,495] - [REST][INFO][gRPC REST] - Server started
[2025-04-07 18:12:53,909] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:12:53,909] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:12:53,911] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:12:53,911] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:12:53,916] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:12:53,916] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:12:55,010] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:12:55,010] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:12:55,010] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:12:55,011] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:12:55,011] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:12:55,011] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:12:55,019] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:12:55,019] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:12:55,019] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:15:04,094] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:15:04,094] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:15:04,094] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-07 18:15:33,268] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:15:33,268] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:15:33,268] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:15:33,268] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:15:33,270] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:15:33,270] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:15:33,270] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:15:33,270] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-07 18:15:33,275] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:15:33,275] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:15:33,275] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:15:33,275] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-07 18:26:30,939] - [REST][INFO][gRPC REST] - Server started
[2025-04-07 18:26:40,597] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:26:40,597] - [REST][INFO][REST Server] - Received Mission
[2025-04-07 18:26:40,599] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
