[2025-07-29 09:32:49,218][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:32:49,222][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:32:49,222][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:32:49,231][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:32:49,231][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:38:22,477][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 09:38:22,477][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 09:40:06,159][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 09:40:09,471][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:40:09,471][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:40:09,473][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:40:09,473][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:40:09,479][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:40:09,479][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:45:40,101][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 09:45:40,101][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 09:46:24,332][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 09:46:35,187][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:46:35,187][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:46:35,190][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:46:35,190][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:46:35,199][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:46:35,199][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:52:10,277][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 09:52:10,277][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:05:59,463][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 10:06:01,083][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:06:01,083][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:06:01,085][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:06:01,085][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:06:01,091][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:06:01,091][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:11:37,144][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:11:37,144][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:18:56,305][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:18:56,305][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:18:56,305][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:18:56,310][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:18:56,310][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:18:56,310][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:18:56,319][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:18:56,319][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:18:56,319][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:22:17,986][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:22:17,986][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:22:17,986][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:22:17,986][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:22:17,990][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:22:17,990][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:22:17,990][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:22:17,990][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:22:17,998][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:22:17,998][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:22:17,998][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:22:17,998][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:24:34,032][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:24:34,032][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:24:34,032][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:24:34,032][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:28:30,540][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:28:30,540][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:28:30,540][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:28:30,540][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:28:30,540][REST][INFO][REST Server] - Received Mission
