[2026-03-12 12:33:30,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:33:32,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:33:40,470][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:33:41,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:33:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:33:50,511][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:33:51,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:33:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:34:00,547][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:34:01,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:34:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:34:10,585][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:34:11,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:34:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:34:20,622][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:34:21,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:34:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:34:30,659][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:34:31,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:34:32,474][Drone 3][INFO][State Vector] - State Vector sent
